trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
43,False,"{'a': 0.55, 'e': 0.919353923990931}",30,0,-53.20088896696998,"{0: 21, 1: 3, 2: 6, 3: 0, 4: 0}",0
44,False,"{'a': 0.55, 'e': 0.9175152161429492}",25,5,-59.5962868378454,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",1
45,False,"{'a': 0.55, 'e': 0.9156801857106632}",20,0,-207.88965657239925,"{0: 9, 1: 2, 2: 5, 3: 0, 4: 4}",0
46,False,"{'a': 0.55, 'e': 0.9138488253392419}",30,0,-153.37577443349107,"{0: 18, 1: 3, 2: 6, 3: 1, 4: 2}",0
47,False,"{'a': 0.55, 'e': 0.9120211276885635}",35,0,-200.99904737610112,"{0: 22, 1: 4, 2: 3, 3: 3, 4: 3}",0
48,False,"{'a': 0.55, 'e': 0.9101970854331863}",20,0,-94.05866520077988,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
49,False,"{'a': 0.55, 'e': 0.9083766912623199}",20,0,-127.66730723739244,"{0: 8, 1: 1, 2: 9, 3: 2, 4: 0}",0
50,False,"{'a': 0.55, 'e': 0.9065599378797953}",20,0,-41.271575020659455,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
51,False,"{'a': 0.55, 'e': 0.9047468180040357}",35,3,-118.69135118263479,"{0: 23, 1: 2, 2: 2, 3: 4, 4: 1}",1
52,False,"{'a': 0.55, 'e': 0.9029373243680276}",25,0,-136.2393250544179,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",0
53,False,"{'a': 0.55, 'e': 0.9011314497192916}",20,0,-106.63213699343052,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
54,False,"{'a': 0.55, 'e': 0.899329186819853}",20,0,-64.17664790279765,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
55,False,"{'a': 0.55, 'e': 0.8975305284462133}",20,0,-96.06358368388305,"{0: 11, 1: 1, 2: 6, 3: 2, 4: 0}",0
56,False,"{'a': 0.55, 'e': 0.8957354673893209}",20,0,-73.67126635301636,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
57,False,"{'a': 0.55, 'e': 0.8939439964545421}",35,0,-267.5102369878639,"{0: 20, 1: 4, 2: 5, 3: 1, 4: 5}",0
58,False,"{'a': 0.55, 'e': 0.8921561084616331}",25,0,-178.5639901897922,"{0: 17, 1: 0, 2: 4, 3: 0, 4: 4}",0
59,False,"{'a': 0.55, 'e': 0.8903717962447099}",30,0,-112.65340232129813,"{0: 22, 1: 1, 2: 5, 3: 0, 4: 2}",0
60,False,"{'a': 0.55, 'e': 0.8885910526522204}",25,0,-149.86636088266002,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
61,False,"{'a': 0.55, 'e': 0.886813870546916}",20,0,-52.13074796716737,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
